,asn_v4,Abandoned,Connected,Disconnected,network_type
207,37475,4.0,0.0,0.0,Cable/DSL/ISP
208,37492,5.0,1.0,0.0,Cable/DSL/ISP
209,37495,0.0,0.0,1.0,Educational/Research
210,37497,1.0,1.0,1.0,NSP
211,37503,2.0,0.0,0.0,Unknown
212,37513,1.0,1.0,0.0,Unknown
213,37515,1.0,0.0,0.0,Cable/DSL/ISP
214,37517,1.0,0.0,0.0,Unknown
215,37519,2.0,1.0,0.0,Cable/DSL/ISP
216,37520,0.0,1.0,0.0,Educational/Research
217,37524,1.0,0.0,0.0,Unknown
218,37532,2.0,0.0,0.0,Unknown
219,37537,0.0,1.0,0.0,Unknown
220,37542,1.0,0.0,0.0,Cable/DSL/ISP
221,37544,1.0,0.0,0.0,Not Disclosed
222,37545,2.0,0.0,0.0,NSP
223,37547,1.0,0.0,0.0,Unknown
224,37548,1.0,0.0,0.0,Not Disclosed
225,37550,1.0,0.0,0.0,NSP
226,37557,1.0,0.0,0.0,Unknown
227,37577,2.0,1.0,0.0,Cable/DSL/ISP
228,37578,0.0,1.0,0.0,Not Disclosed
229,37586,1.0,0.0,0.0,Cable/DSL/ISP
230,37611,9.0,1.0,3.0,Cable/DSL/ISP
231,37618,1.0,0.0,0.0,NSP
232,37623,2.0,0.0,0.0,Not Disclosed
233,37629,1.0,0.0,0.0,Cable/DSL/ISP
234,37637,1.0,0.0,0.0,Not Disclosed
235,37640,0.0,2.0,0.0,Cable/DSL/ISP
236,37645,1.0,0.0,1.0,Cable/DSL/ISP
237,37661,2.0,1.0,0.0,Not Disclosed
238,37662,1.0,0.0,0.0,NSP
239,37663,0.0,1.0,0.0,Non-Profit
240,37668,0.0,1.0,0.0,Non-Profit
241,37670,0.0,1.0,0.0,Cable/DSL/ISP
242,37671,3.0,0.0,0.0,Not Disclosed
243,37678,1.0,0.0,0.0,Cable/DSL/ISP
244,37680,4.0,4.0,0.0,Cable/DSL/ISP
245,37684,1.0,1.0,0.0,Content
246,37686,1.0,0.0,0.0,Unknown
247,37691,1.0,0.0,0.0,Not Disclosed
248,37693,2.0,0.0,2.0,Cable/DSL/ISP
249,37695,1.0,0.0,0.0,Route Server
250,37697,0.0,1.0,0.0,Cable/DSL/ISP
251,37705,9.0,2.0,0.0,NSP
252,37708,0.0,1.0,1.0,Non-Profit
253,37721,0.0,1.0,0.0,Cable/DSL/ISP
254,39356,1.0,0.0,0.0,Not Disclosed
255,41095,1.0,0.0,0.0,NSP
256,42235,0.0,2.0,0.0,Cable/DSL/ISP
257,42473,0.0,1.0,0.0,Content
258,43256,3.0,0.0,0.0,NSP
259,49902,1.0,2.0,0.0,Cable/DSL/ISP
260,50673,1.0,0.0,0.0,Enterprise
261,57695,0.0,1.0,0.0,NSP
262,61092,0.0,1.0,0.0,Cable/DSL/ISP
263,327687,8.0,1.0,0.0,Educational/Research
264,327692,1.0,0.0,0.0,Cable/DSL/ISP
265,327697,0.0,0.0,1.0,Unknown
266,327706,1.0,0.0,0.0,Unknown
267,327707,0.0,1.0,0.0,Not Disclosed
268,327714,2.0,0.0,0.0,Cable/DSL/ISP
269,327719,2.0,0.0,0.0,Route Server
270,327723,1.0,0.0,0.0,Unknown
271,327724,3.0,1.0,0.0,Enterprise
272,327740,1.0,0.0,0.0,Non-Profit
273,327741,0.0,1.0,0.0,Unknown
274,327750,1.0,2.0,0.0,Cable/DSL/ISP
275,327754,1.0,0.0,0.0,Cable/DSL/ISP
276,327761,1.0,0.0,0.0,NSP
277,327782,1.0,0.0,0.0,NSP
278,327792,1.0,0.0,0.0,Cable/DSL/ISP
279,327794,0.0,1.0,0.0,NSP
280,327795,1.0,0.0,0.0,Cable/DSL/ISP
281,327796,0.0,0.0,1.0,Non-Profit
282,327798,0.0,1.0,0.0,Not Disclosed
283,327805,1.0,1.0,0.0,Cable/DSL/ISP
284,327813,1.0,0.0,0.0,Content
285,327814,1.0,1.0,0.0,NSP
286,327817,1.0,1.0,0.0,Cable/DSL/ISP
287,327821,1.0,0.0,0.0,Non-Profit
288,327825,1.0,0.0,0.0,Cable/DSL/ISP
289,327828,1.0,0.0,0.0,Unknown
290,327831,0.0,1.0,0.0,Not Disclosed
291,327844,0.0,2.0,0.0,Non-Profit
292,327849,0.0,1.0,0.0,Cable/DSL/ISP
293,327859,0.0,1.0,0.0,Cable/DSL/ISP
294,327861,3.0,0.0,0.0,Unknown
295,327864,1.0,0.0,0.0,Unknown
296,327871,1.0,0.0,0.0,Unknown
297,327872,0.0,1.0,0.0,Cable/DSL/ISP
298,327875,0.0,1.0,0.0,Unknown
299,327879,1.0,0.0,0.0,Unknown
300,327881,1.0,0.0,0.0,Unknown
301,327900,0.0,1.0,0.0,Cable/DSL/ISP
302,327901,0.0,1.0,0.0,Cable/DSL/ISP
303,327931,1.0,0.0,0.0,Not Disclosed
304,327935,1.0,0.0,0.0,NSP
305,327941,1.0,0.0,0.0,Cable/DSL/ISP
306,327947,0.0,1.0,0.0,Unknown
307,327987,0.0,1.0,0.0,Cable/DSL/ISP
308,328014,0.0,1.0,0.0,Unknown
309,328019,1.0,0.0,0.0,Unknown
310,328039,0.0,1.0,0.0,Cable/DSL/ISP
311,328049,1.0,0.0,0.0,Cable/DSL/ISP
312,328114,0.0,0.0,1.0,NSP
313,328137,1.0,5.0,1.0,Cable/DSL/ISP
314,328145,1.0,2.0,0.0,NSP
315,328162,0.0,1.0,0.0,Enterprise
316,328215,0.0,1.0,0.0,Unknown
317,328228,0.0,0.0,1.0,Unknown
318,328262,1.0,0.0,0.0,Cable/DSL/ISP
319,328266,0.0,1.0,0.0,Cable/DSL/ISP
320,328282,1.0,0.0,0.0,Unknown
321,328316,0.0,1.0,0.0,Not Disclosed
322,328330,1.0,0.0,0.0,Unknown
323,328331,1.0,0.0,0.0,Unknown
324,328365,0.0,0.0,1.0,Non-Profit
325,328366,1.0,0.0,0.0,Cable/DSL/ISP
326,328453,2.0,3.0,1.0,Cable/DSL/ISP
327,328483,0.0,1.0,0.0,Cable/DSL/ISP
328,328487,0.0,1.0,0.0,Unknown
