Rank,asn_v4,AS_Name,CC,Users,country_pct,Internet_pct,Samples
3754,"AS6315","XMISSION - XMission, L.C.","US",28553,0.01,0.0008,7194
3755,"AS17871","DIGITALBUSANDONGNAM-AS-KR Admin Contact","KR",28536,0.06,0.0008,3029
3756,"AS63383","AIRWAVENETWORKSINC-US - Airwave Networks Incorporated","US",28533,0.01,0.0008,7189
3757,"AS41096","TIM-UMAN-AS","UA",28525,0.15,0.0008,6178
3758,"AS45287","VARNION-AS-ID Varnion Technology Semesta, PT","ID",28511,0.05,0.0008,8014
3759,"AS267641","Jethulio Rodrigues Arcovede ME","BR",28461,0.02,0.0008,2749
3760,"AS51561","AS-ICUK","GB",28459,0.05,0.0008,3475
3761,"AS48474","FOFRNET","CZ",28457,0.30,0.0008,2833
3762,"AS48661","AIRWAYNET","CZ",28457,0.30,0.0008,2833
3763,"AS46573","GLOBAL-FRAG-NETWORKS - Global Frag Networks","US",28438,0.01,0.0008,7165
3764,"AS39235","DAT cz.dat autonomous system","CZ",28437,0.30,0.0008,2831
3765,"AS266166","GLOBALNET SERVICOS E INFORMATICA LTDA-ME","BR",28429,0.02,0.0008,2746
3766,"AS38800","DIGICELSAMOA-WS-AS-AP Digicel Samoa Ltd","WS",28425,49.33,0.0008,4522
3767,"AS31028","NOVOE-KTV-AS","RU",28418,0.03,0.0008,4008
3768,"AS19460","SUTH - Sutherland Global Services, Inc.","IN",28412,0.01,0.0008,3978
3769,"AS267657","PROVETECH SOLUCAO EM INTERNET LTDA ME","BR",28398,0.02,0.0008,2743
3770,"AS22051","BTES-AS - Bristol Tennessee Essential Services","US",28394,0.01,0.0008,7154
3771,"AS134702","NETSCOPE-AS-AP NETSCOPE","BD",28389,0.13,0.0008,4144
3772,"AS265135","TC NET","BR",28378,0.02,0.0008,2741
3773,"AS137823","","BD",28369,0.13,0.0008,4141
3774,"AS52794","Net Flex Ltda ME","BR",28367,0.02,0.0008,2740
3775,"AS328065","Vast-Networks-AS","ZA",28349,0.09,0.0008,674
3776,"AS37678","BOFINET","BW",28343,5.60,0.0008,2547
3777,"AS24312","AXGNDOTCOMDOTSG-SG-SG www.axgn.com.sg","PH",28324,0.06,0.0008,3286
3778,"AS49129","CGC-AS","GE",28311,1.37,0.0008,6458
3779,"AS262498","Sudoeste Telecom Ltda - ME","BR",28305,0.02,0.0008,2734
3780,"AS7623","HCNGYEONGBUK-AS-KR Gyeongbuk Cable TV","KR",28301,0.06,0.0008,3004
3781,"AS12143","RAHA","TZ",28295,0.88,0.0008,3550
3782,"AS7583","MESSAGELABS-AP MessageLabs - Now Part of Symantec","JP",28284,0.02,0.0008,1712
3783,"AS13693","NTS-ONLINE - NTS Communications","US",28283,0.01,0.0008,7126
3784,"AS21367","ZVEZDATEL-AS","RU",28283,0.03,0.0008,3989
3785,"AS136373","ALLIED-AS Allied It Infrastructure And Services Pvt Ltd","IN",28277,0.01,0.0008,3959
3786,"AS39906","COPROSYS","CZ",28266,0.30,0.0008,2814
3787,"AS13030","INIT7","CH",28261,0.38,0.0008,2288
3788,"AS48212","MKS-CHITA-AS","RU",28254,0.03,0.0008,3985
3789,"AS25389","UZ-BCC-AS ISP - Amaliy Aloqalar Biznesi Ltd., Tashkent, Uzbekistan","UZ",28251,0.17,0.0008,396
3790,"AS60404","LITESERVER","NL",28242,0.18,0.0008,2927
3791,"AS44213","Reserved (ripencc)","PS",28239,0.87,0.0008,1519
3792,"AS50837","CLOUDSIGMA-AS","US",28224,0.01,0.0008,7111
3793,"AS52689","ESPACO DIGITAL","BR",28212,0.02,0.0008,2725
3794,"AS36864","AFRIBONEMALI-AS","ML",28209,1.18,0.0008,3057
3795,"AS8030","WORLDNET5-10 - ATT WorldNet","US",28196,0.01,0.0008,7104
3796,"AS9934","MICOM-MN-AS Mongolia Telecom","MN",28186,2.51,0.0008,9495
3797,"AS265862","BM SOLUCIONES S.R.L.","AR",28173,0.09,0.0008,4510
3798,"AS35656","JUNET","JO",28157,0.61,0.0008,4701
3799,"AS135628","PC-NET-AS-AP PC-Net","BD",28156,0.13,0.0008,4110
3800,"AS15763","ASDOKOM","DE",28134,0.04,0.0008,1747
3801,"AS37052","UNON-AS","KE",28132,0.12,0.0008,748
3802,"AS17854","CABLELINE-AS-KR Tbroad jeonju broadcast","KR",28131,0.06,0.0008,2986
3803,"AS327942","LANDMARK-UNIVERSITY","NG",28122,0.03,0.0008,513
3804,"AS263805","SOLUCIONES AVANZADAS INFORMATICAS Y TELECOMUNICACIONES SAITEL","EC",28088,0.38,0.0008,4326
3805,"AS9422","SOLNET-ID PT SOLNET INDONESIA","ID",28084,0.05,0.0008,7894
3806,"AS26133","FEWPB - Frankfort Plant Board","US",28081,0.01,0.0008,7075
